"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"POST","/PHP/SearchItemsByCategory.php?category=41&categoryName=Business%2C+Office+%26+Industrial+",519,0,280,387,130,14516,1423,0.29
"POST","/PHP/SearchItemsByCategory.php?category=41&categoryName=Clothing+%26+Accessories+",519,0,280,426,130,11553,1409,0.29
"POST","/PHP/SearchItemsByCategory.php?category=41&categoryName=Coins+",534,0,280,331,128,9431,1375,0.30
"POST","/PHP/SearchItemsByCategory.php?category=41&categoryName=Computers+",511,0,280,422,130,15707,1383,0.28
"POST","/PHP/SearchItemsByCategory.php?category=42&categoryName=Antiques+%26+Art+",541,0,280,389,135,11769,1393,0.30
"POST","/PHP/SearchItemsByCategory.php?category=42&categoryName=Books+",520,0,280,345,124,7316,1375,0.29
"POST","/PHP/SearchItemsByCategory.php?category=42&categoryName=Business%2C+Office+%26+Industrial+",534,0,280,360,127,8918,1423,0.30
"POST","/PHP/SearchItemsByCategory.php?category=42&categoryName=Clothing+%26+Accessories+",494,0,280,313,136,4939,1409,0.28
"POST","/PHP/SearchItemsByCategory.php?category=42&categoryName=Coins+",535,0,280,362,127,7445,1375,0.30
"POST","/PHP/SearchItemsByCategory.php?category=42&categoryName=Computers+",475,0,280,443,130,11442,1383,0.26
"POST","/PHP/SearchItemsByCategory.php?category=43&categoryName=Antiques+%26+Art+",517,0,280,332,131,6808,1393,0.29
"POST","/PHP/SearchItemsByCategory.php?category=43&categoryName=Books+",566,0,280,316,129,4852,1375,0.32
"POST","/PHP/SearchItemsByCategory.php?category=43&categoryName=Business%2C+Office+%26+Industrial+",535,0,280,319,124,5272,1423,0.30
"POST","/PHP/SearchItemsByCategory.php?category=43&categoryName=Clothing+%26+Accessories+",529,0,270,342,130,7799,1409,0.29
